Code,Country,Value
AUS,Australia,24598933
AUT,Austria,8772865
BEL,Belgium,11351727
CAN,Canada,36447341
CHN,China,1427647786
CZE,Czech Republic,10578820
DNK,Denmark,5748769
FIN,Finland,5503297
FRA,France,66804121
DEU,Germany,82521653
GRC,Greece,10768193
HUN,Hungary,9797561
ISL,Iceland,338349
IRN,Iran,83183741
IRL,Ireland,4784383
ITA,Italy,60589445
JPN,Japan,126932772
KOR,"Korea, South",51709098
LUX,Luxembourg,590667
MEX,Mexico,126577691
NLD,Netherlands,17081507
NZL,New Zealand,4793920
NOR,Norway,5258317
POL,Poland,37972964
PRT,Portugal,10309573
SVK,Slovak Republic,5435343
ESP,Spain,46528024
SWE,Sweden,9995153
CHE,Switzerland,8419550
TUR,Turkey,79814871
GBR,United Kingdom,65844142
USA,US,324076293
BRA,Brazil,206882729
CHL,Chile,18419192
COL,Colombia,49291609
CRI,Costa Rica,4947490
EST,Estonia,1315635
ISR,Israel,8628589
LVA,Latvia,1950116
LTU,Lithuania,2847904
RUS,Russia,146804372
SVN,Slovenia,2065895
